cows_id,site_label,current_locationlat,current_location_lng,ebu_royal,shelter_outdoor,tower_type,tower_sytem,tower_hieght,2g_4g_lte_5g,vehicle_make,top_events,moved_date_time,moved_month_year,reached_date_time,reached_month_year,from_location,from_sub_location,from_latitude,from_longitude,to_location,to_sub_location,to_latitude,to_longitude,distance,movement_type,region_from,region_to,vendor,goverment,remarks
COW802,VIP,,,NON EBU,,,,,,,WH,21 May 2023,May-23,21 May 2023,May-23,KFS VIP,WH,24.787620,46.837820,ACES Muzahmiya WH,,24.51704,46.26763,85.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,VIP,,,NON EBU,,,,,,,MDLBEAST Festival,17 Nov 2022,Nov-22,17 Nov 2022,Nov-22,Riyadh Season Boulivord openning Ceremony,Event,24.784040,46.610110,MDL Beast,MDL Beast,24.99500709,46.50814525,80.0,Full,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,Other,18 Feb 2022,Feb-22,18 Feb 2022,Feb-22,ACES Muzahmiya WH,Other,24.517040,46.267630,WDS,,,,150.0,Full,Central,Central,Ericsson,Ash Sharqiyah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,WH,27 Sep 2023,Sep-23,27 Sep 2023,Sep-23,KFS,WH,24.787620,46.837820,ACES Muzahmiya WH,,24.51704,46.26763,100.0,Half,Central,Central,Ericsson,Al Madinah,OFF-AIR
COW802,Normal,,,NON EBU,,,,,,,WH,29 Dec 2022,Dec-22,29 Dec 2022,Dec-22,MDL Beast 2022,WH,24.99500709,46.50814525,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,WH,20 Feb 2022,Feb-22,20 Feb 2022,Feb-22,WDS,WH,,,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW802,Normal,,,NON EBU,,,,,,,WH,16 Dec 2023,Dec-23,16 Dec 2023,Dec-23,KFS,WH,24.787620,46.837820,ACES Muzahmiya WH,,24.51704,46.26763,130.0,Half,Central,Central,Ericsson,Makkah,ON-AIR
COW802,VIP,,,NON EBU,,,,,,,Saudi Founding Day,21 Feb 2022,Feb-22,21 Feb 2022,Feb-22,ACES Muzahmiya WH,Event,24.517040,46.267630,Founding day,Founding day,24.808612,46.580488,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW802,VIP,,,NON EBU,,,,,,,WH,29 Nov 2023,Nov-23,29 Nov 2023,Nov-23,KFS,WH,24.787620,46.837820,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Ar Riyad,OFF-AIR
COW803,Normal,,,NON EBU,,,,,,,Other,23 Oct 2023,Oct-23,23 Oct 2023,Oct-23,ACES Muzahmiya WH,Other,24.517040,46.267630,KFS,,24.788988,46.841101,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW803,VIP,,,NON EBU,,,,,,,WH,20 Jun 2021,Jun-21,20 Jun 2021,Jun-21,ACES Muzahmiya WH,WH,24.517040,46.267630,ACES Muzahmiya WH,,24.51704,46.26763,0.5,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
